[python_calc] | 2020-03-03 10:48:09,871 | DEBUG | > На расчёт 207 переменных ушло 0.012001
[python_calc] | 2020-03-03 10:48:09,882 | DEBUG | > На запись ушло 0.011001
[python_calc] | 2020-03-03 10:48:10,748 | DEBUG | > На расчёт 207 переменных ушло 0.01499
[python_calc] | 2020-03-03 10:48:10,761 | DEBUG | > На запись ушло 0.012001
[python_calc] | 2020-03-03 10:48:11,571 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:48:11,583 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:48:11,594 | DEBUG | > На запись ушло 0.011001
[python_calc] | 2020-03-03 10:48:12,821 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:48:12,838 | DEBUG | > На запись ушло 0.016000999999999998
[python_calc] | 2020-03-03 10:48:13,672 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:48:13,684 | DEBUG | > На запись ушло 0.011001
[python_calc] | 2020-03-03 10:48:14,939 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:48:14,952 | DEBUG | > На запись ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:48:15,792 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:48:15,804 | DEBUG | > На расчёт 207 переменных ушло 0.013007
[python_calc] | 2020-03-03 10:48:15,814 | DEBUG | > На запись ушло 0.008982
[python_calc] | 2020-03-03 10:48:16,667 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:48:16,679 | DEBUG | > На запись ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:48:17,939 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:48:17,953 | DEBUG | > На запись ушло 0.014001
[python_calc] | 2020-03-03 10:48:18,799 | DEBUG | > На расчёт 207 переменных ушло 0.013007
